type,id,attributes.state,attributes.lastLocationUpdate,attributes.lastStateChange,attributes.batteryLevel,attributes.currentRangeMeters,attributes.lat,attributes.lng,attributes.maxSpeed,attributes.zoneId,attributes.code,attributes.iotVendor,attributes.licencePlate,attributes.isRentable,attributes.vehicleType,attributes.hasHelmetBox,attributes.hasHelmet
vehicle,e5435a50-ebce-4b6d-a1f2-df8c055580ba,ACTIVE,2023-09-22T08:38:55Z,2023-09-21T23:05:31Z,92,43000,51.366528,12.350307,20,LEIPZIG,397074,ninebot_g3,230WOS,True,escooter,False,False
vehicle,bb42ee31-c84f-4568-9ca4-45706f16fa3e,ACTIVE,2023-09-22T08:23:40Z,2023-09-21T19:46:15Z,90,42000,51.301182,12.395722,20,LEIPZIG,397092,ninebot_g3,634WOX,True,escooter,False,False
vehicle,29b45746-0a55-4b2f-b13a-a3552293b226,ACTIVE,2023-09-22T07:49:20Z,2023-09-14T16:57:44Z,27,7000,51.335528,12.355989,20,LEIPZIG,397191,ninebot_g3,886WNT,True,escooter,False,False
vehicle,33a68cce-1afe-4dcb-a9f6-b9a7b1bd05b6,ACTIVE,2023-09-22T08:12:50Z,2023-09-21T22:41:25Z,92,43000,51.361214,12.381168,20,LEIPZIG,397219,ninebot_g3,048WOD,True,escooter,False,False
vehicle,0f6ca81a-634b-4340-a4ee-54b90139324a,ACTIVE,2023-09-22T08:33:09Z,2023-09-19T20:43:21Z,65,28000,51.301154,12.395746,20,LEIPZIG,397591,ninebot_g3,930WOS,True,escooter,False,False
vehicle,7ba10c82-a30a-4ac0-80f2-3a1760be4270,ACTIVE,2023-09-22T08:15:39Z,2023-09-19T23:39:48Z,78,35000,51.338643,12.362497,20,LEIPZIG,397707,ninebot_g3,002WNT,True,escooter,False,False
vehicle,f734b350-414f-4141-9fc6-284e2ff2aad8,ACTIVE,2023-09-22T08:42:36Z,2023-09-20T19:57:07Z,72,32000,51.337787,12.381799,20,LEIPZIG,397719,ninebot_g3,158WNT,True,escooter,False,False
vehicle,81147dc3-23c6-4e0a-8967-59340f98c914,ACTIVE,2023-09-22T08:06:21Z,2023-09-18T21:59:16Z,53,21000,51.371843,12.364401,20,LEIPZIG,397963,ninebot_g3,854WOS,True,escooter,False,False
vehicle,39786a34-f577-480e-ae3d-e7c75c306101,ACTIVE,2023-09-22T08:22:43Z,2023-09-21T23:25:22Z,91,42000,51.36107,12.37017,20,LEIPZIG,397976,ninebot_g3,930WOX,True,escooter,False,False
vehicle,3dd0abd0-8db7-4bdf-b2bb-e943701de9ab,ACTIVE,2023-09-22T08:00:54Z,2023-09-19T20:24:57Z,87,40000,51.316688,12.378143,20,LEIPZIG,398058,ninebot_g3,115WOS,True,escooter,False,False
vehicle,d6e5833b-0bd5-4d24-ba65-d4be575679f0,ACTIVE,2023-09-22T07:54:04Z,2023-09-17T22:21:39Z,68,30000,51.302776,12.426303,20,LEIPZIG,398067,ninebot_g3,702WNT,True,escooter,False,False
vehicle,7b2fe8af-e8f8-4225-97ab-d2c23fda2b2a,ACTIVE,2023-09-22T07:52:21Z,2023-09-20T00:14:10Z,61,26000,51.371811,12.36435,20,LEIPZIG,398069,ninebot_g3,967WNT,True,escooter,False,False
vehicle,34e8c983-4d78-4c74-a98c-d3d2afc3cfd7,ACTIVE,2023-09-22T08:39:27Z,2023-09-20T19:57:49Z,79,36000,51.353823,12.411295,20,LEIPZIG,418869,ninebot_g3,167WNT,True,escooter,False,False
