type,id,attributes.state,attributes.lastLocationUpdate,attributes.lastStateChange,attributes.batteryLevel,attributes.currentRangeMeters,attributes.lat,attributes.lng,attributes.maxSpeed,attributes.zoneId,attributes.code,attributes.iotVendor,attributes.licencePlate,attributes.isRentable,attributes.vehicleType,attributes.hasHelmetBox,attributes.hasHelmet
vehicle,67a21f25-e07e-4965-8425-a30a29173456,ACTIVE,2024-04-03T12:54:42Z,2024-04-01T23:43:35Z,89,41000,51.36124,12.381269,20,LEIPZIG,370896,ninebot_g3,243IIC,True,escooter,False,False
vehicle,4b313e8c-086c-408e-a6e8-660184b04b3d,ACTIVE,2024-04-03T14:47:51Z,2024-03-30T19:56:39Z,83,38000,51.319083,12.388691,20,LEIPZIG,370977,ninebot_g3,313IIC,True,escooter,False,False
vehicle,5ada57ea-a084-4876-87e3-2f82389eba3b,ACTIVE,2024-04-03T14:46:23Z,2024-04-01T20:40:01Z,46,18000,51.321957,12.418941,20,LEIPZIG,370985,ninebot_g3,405IIC,True,escooter,False,False
vehicle,145dd621-51df-468d-a015-eb290960b3d3,ACTIVE,2024-04-03T14:14:58Z,2024-04-01T21:08:34Z,57,24000,51.332312,12.395427,20,LEIPZIG,370995,ninebot_g3,223IIC,True,escooter,False,False
vehicle,f42aacd3-931d-49f4-a839-523c5ffb22df,ACTIVE,2024-04-03T16:04:20Z,2024-04-02T23:54:13Z,91,42000,51.347633,12.313507,20,LEIPZIG,371004,ninebot_g3,420IIC,True,escooter,False,False
vehicle,112a2141-747c-4c12-8560-92136d24a297,ACTIVE,2024-04-03T13:03:13Z,2024-04-02T18:18:17Z,51,20000,51.36653,12.350278,20,LEIPZIG,371005,ninebot_g3,379IIC,True,escooter,False,False
vehicle,041a936b-1c6b-454b-81a6-1f758d70a8a3,ACTIVE,2024-04-03T12:10:42Z,2024-03-26T18:11:22Z,37,13000,51.319107,12.388681,20,LEIPZIG,371019,ninebot_g3,324IIC,True,escooter,False,False
vehicle,9ef96075-7d2b-43da-90f7-1f193b28d730,ACTIVE,2024-04-03T16:40:14Z,2024-03-31T18:55:54Z,42,15000,51.349816,12.463236,20,LEIPZIG,371033,ninebot_g3,422IIC,True,escooter,False,False
vehicle,8994592b-e383-4ce1-a7ea-43e489d79976,ACTIVE,2024-04-03T16:16:19Z,2024-04-02T19:28:40Z,90,42000,51.314729,12.412337,20,LEIPZIG,371035,ninebot_g3,221IIC,True,escooter,False,False
vehicle,edf6868b-c0f8-4850-9ef8-47883e3790af,ACTIVE,2024-04-03T14:59:04Z,2024-04-01T22:09:54Z,62,26000,51.36389,12.402453,20,LEIPZIG,371044,ninebot_g3,256IIC,True,escooter,False,False
vehicle,b9b01760-882b-4d93-82a1-3f075a39d4b8,ACTIVE,2024-04-03T16:01:33Z,2024-04-03T01:10:58Z,88,41000,51.345484,12.40652,20,LEIPZIG,371051,ninebot_g3,060IIC,True,escooter,False,False
vehicle,0282e6bc-f9c4-43f5-b7ce-80c063fb2c24,ACTIVE,2024-04-03T16:36:36Z,2024-03-31T19:16:14Z,39,14000,51.3323,12.395404,20,LEIPZIG,371071,ninebot_g3,107IIC,True,escooter,False,False
vehicle,732c7835-92a7-4610-838e-585d7035e768,ACTIVE,2024-04-02T23:34:56Z,2024-04-03T14:58:21Z,45,17000,51.347096,12.392182,20,LEIPZIG,371091,ninebot_g3,212IIC,True,escooter,False,False
