type,id,attributes.state,attributes.lastLocationUpdate,attributes.lastStateChange,attributes.batteryLevel,attributes.currentRangeMeters,attributes.lat,attributes.lng,attributes.maxSpeed,attributes.zoneId,attributes.code,attributes.iotVendor,attributes.licencePlate,attributes.isRentable,attributes.vehicleType,attributes.hasHelmetBox,attributes.hasHelmet
vehicle,0b2415b6-9e00-48cc-8e68-e3f29d2d8aba,ACTIVE,2024-02-29T20:47:27Z,2024-02-29T11:06:28Z,93,43000,51.344819,12.379243,20,LEIPZIG,350236,ninebot_g3,167WOS,True,escooter,False,False
vehicle,b357b307-21c4-44ba-b6d1-3b944ad83bd5,ACTIVE,2024-02-27T22:41:53Z,2024-02-28T13:44:04Z,70,31000,51.3365674,12.3748133,20,LEIPZIG,350313,ninebot_g3,434WOS,True,escooter,False,False
vehicle,5cce76bb-15a3-4444-af2d-09792f75e7b0,ACTIVE,2024-02-29T20:48:28Z,2024-02-25T06:54:58Z,55,23000,51.349455,12.374226,20,LEIPZIG,350343,ninebot_g3,645WOS,True,escooter,False,False
vehicle,6dd5439a-9bed-4cbf-adb4-b5216d2274a1,ACTIVE,2024-02-29T20:51:02Z,2024-02-23T17:42:25Z,49,19000,51.330416,12.379906,20,LEIPZIG,351335,ninebot_g3,846WNT,True,escooter,False,False
vehicle,0e878deb-c00c-4873-9dcc-8c82d807d098,ACTIVE,2024-02-29T20:50:27Z,2024-02-26T11:15:17Z,29,8000,51.325208,12.437531,20,LEIPZIG,351847,ninebot_g3,203WOS,True,escooter,False,False
vehicle,6a8df165-8bc4-4148-ace8-8b574a034c8c,ACTIVE,2024-02-29T20:51:41Z,2024-02-29T10:10:29Z,59,25000,51.33768,12.38694,20,LEIPZIG,352502,ninebot_g3,142WOS,True,escooter,False,False
vehicle,dc80c9a6-ba2c-4e92-85b7-ae75cba478b9,ACTIVE,2024-02-29T20:49:44Z,2024-02-28T08:38:15Z,88,41000,51.316774,12.378131,20,LEIPZIG,354090,ninebot_g3,309WOS,True,escooter,False,False
vehicle,9ce104fc-c1c9-4659-a94c-bcf7f6fadc92,ACTIVE,2024-02-29T20:49:49Z,2024-02-29T12:58:57Z,92,43000,51.345263,12.406342,20,LEIPZIG,355202,ninebot_g3,117WOS,True,escooter,False,False
vehicle,417a109c-754a-4fca-aedc-e6a31362fd54,ACTIVE,2024-02-29T20:51:49Z,2024-02-19T01:00:27Z,50,20000,51.348066,12.390856,20,LEIPZIG,355241,ninebot_g3,642WNT,True,escooter,False,False
vehicle,c6717883-bb28-4e84-8b6a-8a55fc2c46a2,ACTIVE,2024-02-29T20:52:08Z,2024-02-26T22:21:02Z,87,40000,51.349527,12.391304,20,LEIPZIG,356729,ninebot_g3,102WOS,True,escooter,False,False
vehicle,1d51a4c2-cfdd-4224-a183-98de771a6d7e,ACTIVE,2024-02-29T20:50:31Z,2024-02-25T05:48:59Z,69,30000,51.360867,12.370648,20,LEIPZIG,356791,ninebot_g3,134WOS,True,escooter,False,False
vehicle,dde42d88-96a2-4d72-8069-8179291f64cc,ACTIVE,2024-02-29T21:08:47Z,2024-02-28T08:31:13Z,40,14000,51.324684,12.373323,20,LEIPZIG,357254,ninebot_g3,631WOS,True,escooter,False,False
vehicle,d6a6d2e1-7e3b-4c33-8436-f2e1da3347c6,ACTIVE,2024-02-29T20:52:19Z,2024-02-28T09:54:10Z,89,41000,51.301406,12.38435,20,LEIPZIG,357739,ninebot_g3,370WOS,True,escooter,False,False
vehicle,5d757b44-8e49-40eb-83cb-660cdf259de9,ACTIVE,2024-02-29T20:50:22Z,2024-02-28T10:22:41Z,87,40000,51.361243,12.370508,20,LEIPZIG,357768,ninebot_g3,001WOD,True,escooter,False,False
vehicle,80597eb0-a2dd-4eb7-9883-2ab234cac53c,ACTIVE,2024-02-29T20:49:49Z,2024-02-23T07:45:20Z,53,21000,51.361281,12.381304,20,LEIPZIG,358962,ninebot_g3,944WOS,True,escooter,False,False
vehicle,31ab0d15-167c-476f-af34-0c4d6d960c29,ACTIVE,2024-02-29T20:51:20Z,2024-02-25T15:58:56Z,68,30000,51.319064,12.388748,20,LEIPZIG,359055,ninebot_g3,468WPP,True,escooter,False,False
vehicle,10d4fb06-7562-4858-90b1-595fb0a3ce31,ACTIVE,2024-02-29T20:49:49Z,2024-02-25T10:48:06Z,59,25000,51.353369,12.411066,20,LEIPZIG,359177,ninebot_g3,899WNG,True,escooter,False,False
vehicle,7eff9a54-dadc-4877-bb90-4d1c4cba857d,ACTIVE,2024-02-29T20:49:49Z,2024-02-25T07:18:02Z,55,23000,51.314713,12.412391,20,LEIPZIG,359357,ninebot_g3,945WOS,True,escooter,False,False
vehicle,8873b20c-0ecc-4a81-82a9-b0ecdc82293f,ACTIVE,2024-02-29T20:50:15Z,2024-02-29T07:35:39Z,91,42000,51.315129,12.409562,20,LEIPZIG,361049,ninebot_g3,900WOS,True,escooter,False,False
vehicle,17e10bc1-c0e8-4b41-872c-ade18c652ecd,ACTIVE,2024-02-29T20:49:22Z,2024-02-24T08:25:51Z,71,31000,51.351632,12.372895,20,LEIPZIG,361245,ninebot_g3,941WOS,True,escooter,False,False
vehicle,b2c67be9-2fc4-454a-9c10-ef7e007627ea,ACTIVE,2024-02-29T20:50:56Z,2024-02-21T22:28:59Z,41,15000,51.361071,12.370209,20,LEIPZIG,363003,ninebot_g3,939WOS,True,escooter,False,False
vehicle,cf3c3ffa-35e1-419e-9477-2019be5d949f,ACTIVE,2024-02-29T20:49:17Z,2024-02-28T09:03:53Z,89,41000,51.329758,12.373134,20,LEIPZIG,363004,ninebot_g3,106WOS,True,escooter,False,False
vehicle,1bb55819-80ca-42a7-980f-8c772a9929db,ACTIVE,2024-02-29T20:52:13Z,2024-02-29T12:34:20Z,93,43000,51.356816,12.41532,20,LEIPZIG,363046,ninebot_g3,793WNT,True,escooter,False,False
vehicle,3843394f-7a4e-4d0e-a958-2c11f7ab5cb6,ACTIVE,2024-02-29T20:50:49Z,2024-02-28T10:49:12Z,87,40000,51.351644,12.372955,20,LEIPZIG,363049,ninebot_g3,948WOS,True,escooter,False,False
