type,id,attributes.state,attributes.lastLocationUpdate,attributes.lastStateChange,attributes.batteryLevel,attributes.currentRangeMeters,attributes.lat,attributes.lng,attributes.maxSpeed,attributes.zoneId,attributes.code,attributes.iotVendor,attributes.licencePlate,attributes.isRentable,attributes.vehicleType,attributes.hasHelmetBox,attributes.hasHelmet
vehicle,1bb55819-80ca-42a7-980f-8c772a9929db,ACTIVE,2024-04-08T07:31:20Z,2024-04-06T04:54:07Z,56,23000,51.349868,12.463241,20,LEIPZIG,363046,ninebot_g3,109IIC,True,escooter,False,False
vehicle,3843394f-7a4e-4d0e-a958-2c11f7ab5cb6,ACTIVE,2024-04-08T10:02:49Z,2024-04-08T09:37:30Z,86,40000,51.345044,12.379228,20,LEIPZIG,363049,ninebot_g3,085IIC,True,escooter,False,False
vehicle,018410fb-ce81-4b61-a04c-153e63761dd8,ACTIVE,2024-04-08T10:21:49Z,2024-04-03T00:13:09Z,73,32000,51.350921,12.346767,20,LEIPZIG,364273,ninebot_g3,166IIC,True,escooter,False,False
vehicle,23760a48-6233-4604-b055-b86260d47317,ACTIVE,2024-04-08T10:10:46Z,2024-04-05T10:38:43Z,57,24000,51.34909,12.37205,20,LEIPZIG,364298,ninebot_g3,048IIC,True,escooter,False,False
vehicle,7c642dda-67b2-4919-8f1a-d14c2deddfab,ACTIVE,2024-04-08T09:21:30Z,2024-04-08T07:59:44Z,95,45000,51.327775,12.345478,20,LEIPZIG,365447,ninebot_g3,373IIC,True,escooter,False,False
vehicle,c73ed5a0-6da6-48fe-9556-6bd4fe43606e,ACTIVE,2024-04-08T10:25:33Z,2024-04-08T05:45:19Z,93,43000,51.338597,12.403877,20,LEIPZIG,365490,ninebot_g3,388IIC,True,escooter,False,False
vehicle,d96b2bbe-c9f6-4138-b0e1-d2cb33c8c532,ACTIVE,2024-04-08T07:37:07Z,2024-04-07T05:57:09Z,58,24000,51.368396,12.38654,20,LEIPZIG,365824,ninebot_g3,494IIC,True,escooter,False,False
vehicle,ba4a6d8b-9a95-428f-b2fc-9dc6b9ca0278,ACTIVE,2024-04-08T09:32:06Z,2024-04-07T20:33:04Z,25,6000,51.337813,12.340309,20,LEIPZIG,365857,ninebot_g3,337IIC,True,escooter,False,False
vehicle,b56cf3f8-826e-45d1-bf61-27ec3c934210,ACTIVE,2024-04-08T08:47:16Z,2024-04-06T11:28:12Z,55,23000,51.340596,12.382965,20,LEIPZIG,365876,ninebot_g3,119IIC,True,escooter,False,False
vehicle,426cb691-322d-4ae6-ad36-b61ccbbcfed1,ACTIVE,2024-04-08T08:04:48Z,2024-04-07T12:04:30Z,88,41000,51.364037,12.402476,20,LEIPZIG,368102,ninebot_g3,126IIC,True,escooter,False,False
